sale_id,product_id,customer_id,quantity_sold,sale_amount,sale_date,region,unit_price,total_sale_amount
1,107,273,5,1000,01-09-2024,South,200,1000
2,104,212,7,700,31-05-2024,West,100,700
3,107,223,2,400,19-03-2024,West,200,400
4,103,288,1,240,21-02-2024,West,240,240
5,112,274,6,600,05-05-2024,West,100,600
6,113,296,4,100,20-12-2024,North,25,100
7,101,231,3,750,09-09-2024,West,250,750
8,107,297,9,1800,12-03-2024,East,200,1800
9,101,232,4,1000,26-11-2024,South,250,1000
10,111,227,7,560,08-10-2024,South,80,560
11,101,229,1,250,21-07-2024,North,250,250
12,102,252,4,1200,03-03-2024,North,300,1200
13,113,259,1,25,27-09-2024,West,25,25
14,110,267,6,300,28-10-2024,East,50,300
15,106,264,2,700,14-04-2024,South,350,700
16,111,235,2,160,03-12-2024,West,80,160
17,107,294,7,1400,10-05-2024,West,200,1400
18,104,295,9,900,03-12-2024,South,100,900
19,110,289,1,50,24-11-2024,West,50,50
20,105,208,4,1600,15-09-2024,North,400,1600
21,106,250,3,1050,11-02-2024,East,350,1050
22,112,241,3,300,22-09-2024,East,100,300
23,108,262,5,3000,20-03-2024,West,600,3000
24,104,227,9,900,02-02-2024,West,100,900
25,104,201,10,1000,12-02-2024,South,100,1000
26,102,226,5,1500,15-12-2024,South,300,1500
27,102,224,7,2100,25-04-2024,South,300,2100
28,112,269,5,500,25-11-2024,North,100,500
29,114,225,3,450,13-08-2024,East,150,450
30,107,298,1,200,06-11-2024,South,200,200
31,111,284,4,320,28-11-2024,North,80,320
32,101,205,7,1750,06-06-2024,North,250,1750
33,106,292,2,700,05-10-2024,North,350,700
34,112,227,8,800,13-07-2024,North,100,800
35,107,289,10,2000,09-03-2024,West,200,2000
36,116,248,3,150,13-12-2024,West,50,150
37,110,245,7,350,20-02-2024,North,50,350
38,112,279,4,400,03-01-2025,South,100,400
39,102,215,3,900,11-01-2025,South,300,900
40,112,269,9,900,10-06-2024,East,100,900
41,115,286,10,300,18-01-2025,West,30,300
42,101,295,1,250,02-12-2024,East,250,250
43,102,266,9,2700,07-10-2024,South,300,2700
44,115,237,8,240,29-09-2024,West,30,240
45,115,227,6,180,19-12-2024,East,30,180
46,114,279,10,1500,20-04-2024,South,150,1500
47,113,237,6,150,11-06-2024,South,25,150
48,106,214,3,1050,23-03-2024,West,350,1050
49,107,239,9,1800,06-05-2024,East,200,1800
50,102,240,6,1800,10-09-2024,West,300,1800
51,106,220,6,2100,13-11-2024,East,350,2100
52,108,212,4,2400,22-01-2024,West,600,2400
53,111,244,8,640,07-07-2024,North,80,640
54,114,284,8,1200,11-12-2024,East,150,1200
55,102,297,5,1500,21-04-2024,West,300,1500
56,108,217,10,6000,04-06-2024,East,600,6000
57,112,257,3,300,14-04-2024,West,100,300
58,103,241,9,2160,24-07-2024,South,240,2160
59,109,254,10,200,11-12-2024,South,20,200
60,102,255,6,1800,03-03-2024,South,300,1800
61,113,245,5,125,23-11-2024,South,25,125
62,110,299,5,250,25-11-2024,North,50,250
63,104,261,3,300,23-06-2024,South,100,300
64,106,214,7,2450,28-01-2024,South,350,2450
65,114,271,8,1200,18-08-2024,North,150,1200
66,116,285,4,200,05-05-2024,West,50,200
67,110,298,2,100,13-07-2024,South,50,100
68,109,250,4,80,30-10-2024,East,20,80
69,113,273,10,250,22-08-2024,West,25,250
70,107,235,10,2000,28-01-2024,East,200,2000
71,113,215,6,150,18-10-2024,South,25,150
72,111,286,8,640,28-06-2024,South,80,640
73,114,235,6,900,13-12-2024,East,150,900
74,110,208,1,50,03-09-2024,North,50,50
75,109,258,4,80,05-07-2024,South,20,80
76,103,299,7,1680,10-04-2024,South,240,1680
77,105,229,7,2800,09-02-2024,South,400,2800
78,115,232,1,30,25-11-2024,East,30,30
79,115,236,10,300,25-05-2024,North,30,300
80,102,242,4,1200,22-06-2024,East,300,1200
81,103,294,6,1440,31-05-2024,South,240,1440
82,109,269,2,40,01-01-2025,South,20,40
83,113,234,9,225,13-03-2024,West,25,225
84,114,212,2,300,01-11-2024,North,150,300
85,105,262,3,1200,30-04-2024,East,400,1200
86,101,283,7,1750,14-06-2024,West,250,1750
87,113,223,9,225,14-04-2024,South,25,225
88,113,242,4,100,11-04-2024,West,25,100
89,113,251,3,75,04-01-2025,South,25,75
90,114,230,6,900,05-04-2024,South,150,900
91,110,270,5,250,16-03-2024,East,50,250
92,115,254,1,30,28-12-2024,North,30,30
93,103,203,5,1200,15-06-2024,South,240,1200
94,106,217,10,3500,01-02-2024,West,350,3500
95,111,282,1,80,29-01-2024,South,80,80
96,104,242,6,600,16-07-2024,North,100,600
97,107,260,5,1000,20-12-2024,West,200,1000
98,116,248,8,400,10-11-2024,East,50,400
99,116,282,5,250,11-07-2024,North,50,250
100,111,264,3,240,14-10-2024,South,80,240
101,116,234,2,100,27-01-2024,North,50,100
102,110,300,2,100,09-06-2024,South,50,100
103,110,203,7,350,23-12-2024,West,50,350
104,102,287,8,2400,21-04-2024,West,300,2400
105,115,220,3,90,09-05-2024,South,30,90
106,104,284,10,1000,01-05-2024,East,100,1000
107,104,290,9,900,14-02-2024,West,100,900
108,113,286,4,100,08-10-2024,South,25,100
109,104,272,4,400,27-08-2024,West,100,400
110,109,257,5,100,15-03-2024,South,20,100
111,113,227,10,250,26-10-2024,East,25,250
112,107,268,10,2000,18-01-2025,West,200,2000
113,102,285,2,600,07-09-2024,East,300,600
114,112,239,4,400,05-07-2024,East,100,400
